Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-01,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-01,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-12-02,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-02,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-02,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-12-03,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-03,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-03,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-12-04,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-04,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-04,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-12-05,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-05,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-05,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-12-06,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-12-06,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
